種類,名称,緯度,経度,所属路線1,所属路線2,所属路線3
駅,池袋,35.728926,139.71038,池袋線,,
駅,椎名町,35.7266,139.694835,池袋線,,
駅,東長崎,35.730213,139.683005,池袋線,,
駅,江古田,35.737376,139.672756,池袋線,,
駅,桜台,35.738759,139.662415,池袋線,,
駅,練馬,35.73782,139.653566,池袋線,豊島線,有楽町線
駅,中村橋,35.736798,139.637767,池袋線,,
駅,富士見台,35.735928,139.629993,池袋線,,
駅,練馬高野台,35.740541,139.616974,池袋線,,
駅,石神井公園,35.743554,139.607028,池袋線,,
駅,大泉学園,35.749539,139.586552,池袋線,,
駅,保谷,35.748328,139.567556,池袋線,,
駅,ひばりヶ丘,35.7516222,139.5449125,池袋線,,
駅,東久留米,35.76032,139.533936,池袋線,,
駅,清瀬,35.772121,139.519909,池袋線,,
駅,秋津,35.778281,139.49675,池袋線,,
駅,所沢,35.786201,139.473916,池袋線,,
駅,西所沢,35.789264,139.456014,池袋線,狭山線,
駅,小手指,35.800579,139.438016,池袋線,,
駅,狭山ヶ丘,35.810453,139.416748,池袋線,,
駅,武蔵藤沢,35.821221,139.412572,池袋線,,
駅,稲荷山公園,35.845145,139.398404,池袋線,,
駅,入間市,35.841987,139.389541,池袋線,,
駅,仏子,35.837878,139.360037,池袋線,,
駅,元加治,35.840522,139.345744,池袋線,,
駅,飯能,35.851101,139.319063,池袋線,,
駅,東飯能,35.85267,139.325945,池袋線,,
駅,武蔵丘,35.863833,139.3135,池袋線,,
駅,高麗,35.881752,139.304419,池袋線,,
駅,武蔵横手,35.885398,139.280806,池袋線,,
駅,東吾野,35.892087,139.260681,池袋線,,
駅,吾野,35.908485,139.226718,池袋線,,
駅,西吾野,35.926393,139.202195,池袋線,,
駅,正丸,35.938313,139.182099,池袋線,,
駅,正丸トンネル,35.956,139.163833,池袋線,,
駅,芦ヶ久保,35.976896,139.136884,池袋線,,
駅,横瀬,35.985548,139.097818,池袋線,,
駅,西武秩父,35.989939,139.083473,池袋線,,
駅,豊島園,35.74191421,139.6491466,豊島線,,
駅,下山口,35.779363,139.440833,狭山線,,
駅,西武球場前,35.770419,139.418793,狭山線,,
駅,小竹向原,35.743803,139.678572,有楽町線,,
駅,新桜台,35.74077,139.6683,有楽町線,,
